B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2075-2-18,2018-06-01,15:22,27.68,86.11,4.3,NSC,Dolakha
2075-2-17,2018-05-31,20:32,28.17,84.89,4.1,NSC,gorkha
2075-2-17,2018-05-31,16:00,28.9,81.77,4.3,RSC/NSC,Dailekh
2075-2-10,2018-05-24,14:25,29.98,80.54,4.6,RSC/NSC,Dharchula
2075-1-22,2018-05-05,15:04,27.74,88.13,4.4,NSC,Taplejung
2074-11-18,2018-03-02,05:06,27.7,86.33,4.6,NSC,Dolakha
2074-11-15,2018-02-27,19:00,27.7,86.33,4.3,NSC,Dolakha
2074-11-9,2018-02-21,15:59,28.07,85.96,4.3,NSC,Tibet
2074-10-5,2018-01-19,02:53,27.72,86.01,4.3,NSC,Dolakha
2074-9-13,2017-12-28,7:45,29.82,80.76,4.5,RSC/NSC,Darchula
2074-9-3,2017-12-18,11:33,27.96,85.68,4.2,NSC,Sindhupalchowk
2074-8-22,2017-12-08,02:51,27.63,86.19,5.2,NSC,Dolakha
2074-7-20,2017-11-06,03:09,29.78,81.28,4.5,RSC/NSC,Bajhang
2074-7-9,2017-10-26,12:51,29.08,81.45,4,NSC/RSC,Achham
2074-6-29,2017-10-15,23:17,28.5,83.32,4.2,NSC,Myagdi
2074-6-16,2017-10-02,01:22,28.83,82.55,4.1,NSC/RSC,Rukum
2074-6-5,2017-09-21,07:19,27.62,86.25,4.6,NSC,Dolakha
2074-5-8,2017-08-24,10:40,28.06,85.94,4.8,NSC,Sindhupalchok-Tibet border
2074-5-6,2017-08-22,00:50,29.41,81.1,4.9,RSC/NSC,Bajhang
2074-5-5,2017-08-21,12:03,27.66,86.27,4.6,NSC,Dolakha
2074-4-9,2017-07-24,04:44,27.56,85.96,4,NSC,Dolakha
2074-3-31,2017-07-15,16:35,28.94,81.75,4,NSC/RSC,Dailekh
2074-3-18,2017-07-02,01:58,27.34,86.49,5.1,NSC,Okhaldhunga
2074-3-14,2017-06-28,18:24,27.66,86.41,4.2,NSC,Ramechhap
2074-2-31,2017-06-14,03:42,27.88,88.13,4.1,NSC,Taplejung-Tibet Border
2074-2-29,2017-06-12,11:54,27.62,86.1,4.1,NSC,Dolakha
2074-2-16,2017-05-30,17:38,29.64,80.97,4.1,RSC/NSC,Bajhang
2074-1-11,2017-04-24,11:19,27.86,85.77,4.2,NSC,Sindhupalchowk
2074-1-11,2017-04-24,15:04,29.75,81.31,4.1,NSC/RSC,Bajhang
2073-11-27,2017-03-10,01:43,30.37,81.57,4.1,RSC/NSC,Humla
2073-11-16,2017-02-27,04:21,27.38,86.13,4.7,NSC,Ramechhap
2073-11-16,2017-02-27,03:37,27.36,86.12,4.6,NSC,Ramechhap
2073-11-7,2017-02-18,00:15,27.79,84.8,4,NSC,Dhading
2073-10-28,2017-02-10,11:13,29.88,80.61,4.1,NSC/RSC,Darchula
2073-10-22,2017-02-04,12:13,27.73,86.08,4.4,NSC,Dolakha
2073-9-19,2017-01-03,18:41,29.71,81.57,4,RSC/NSC,Bajura
2073-8-13,2016-11-28,23:35,27.79,86.58,5.6,"NSC,RSC",Ramechap/Solukhumbu
2073-7-21,2016-11-06,16:02,29.69,81.05,4,RSC/NSC,Bajhang
2073-7-1,2016-10-17,04:18,27.87,85.3,4,NSC,Nuwakot
2073-6-29,2016-10-15,12:37,28.04,85.17,4.1,NSC,Rasuwa
2073-6-26,2016-10-12,08:29,27.66,85.95,4.1,NSC,Dolakha
2073-6-25,2016-10-11,07:08,27.67,85.95,4.6,NSC,Dolakha
2073-6-21,2016-10-07,04:52,27.65,86.13,4.2,NSc,Dolakha
2073-6-2,2016-09-18,17:12,27.91,85.77,4.6,NSC,Sindhupalchowk
2073-5-20,2016-09-05,02:04,27.78,86.35,4.5,NSC,Dolakha
2073-5-20,2016-09-05,00:37,27.82,86.14,4.1,NSC,Dolakha
2073-5-11,2016-08-27,12:03,29.81,81.56,4,RSC/NSC,Bajura
2073-4-8,2016-07-23,06:14,27.99,84.71,4.1,NSC,Gorkha
2073-3-24,2016-07-08,22:23,27.84,86.16,4.1,NSC,Dolakha
2073-3-23,2016-07-07,11:53,27.92,85.66,4.4,NSC,Sindhupalchowk
2073-3-23,2016-07-07,08:59,28.31,84.35,4.3,NSC/RSC,Lamjung
2073-3-18,2016-07-02,00:23,29.64,81.28,4.4,RSC/NSC,Bajhang
2073-3-15,2016-06-29,09:10,29.63,81.28,5,RSC/NSC,Bajhang
2073-3-15,2016-06-29,09:26,29.63,81.24,4.2,RSC/NSC,Bajhang
2073-3-8,2016-06-22,13:00,27.76,86.34,4.1,NSC,Dolakha
2073-3-7,2016-06-21,05:49,27.93,85.21,4.4,NSC,Nuwakot
2073-2-32,2016-06-14,23:27,28.03,84.64,4.3,NSC,Gorkha
2073-2-21,2016-06-03,23:25,27.96,85.62,4.4,NSC,Sindhupalchowk
